Standard_Author	Preprints	Score	Rank
 Leung	1	1	29388
 Li	2	5	4631
 Lin	1	3	12013
 Moradpour	1	1	29388
 Mulembakani	1	2	17764
 Prabhat	1	1	29388
 Vawter	1	2	17764
 Yunus	1	2	17764
 Zamanighomi	2	4	10491
A Bevan	1	3	12013
A Drobniak	1	5	4631
A Edwards	1	2	17764
A Tehou	1	1	29388
A Walker	4	16	532
A Whitehead	1	2	17764
A. Arnold	1	2	17764
A. Arpat	1	2	17764
A. Carvalho	1	1	29388
A. Castillo-Pacheco	1	1	29388
A. Cicek	2	7	2850
A. Eren	3	8	2314
A. Erzurumluoglu	1	2	17764
A. Evans	1	2	17764
A. Hofman	1	2	17764
A. Imam	1	1	29388
A. Klein	1	1	29388
A. Matera	3	7	2850
A. Mechine-Neuville	1	1	29388
A. Millar	1	5	4631
A. Nacht	1	1	29388
A. Okbay	1	2	17764
A. Rutherford	1	5	4631
A. Settles	1	1	29388
A. Shain	1	5	4631
A. Walker	1	5	4631
A.F. Altelaar	1	1	29388
A.G. Uitterlinden	1	2	17764
A.K. Upadhyay	1	2	17764
A.R. Thurik	1	2	17764
ABHIK SEAL	1	3	12013
ADAM HOSPITAL	1	1	29388
AKIHIRO UMEZAWA	2	10	1419
ALTUNA AKALIN	1	2	17764
AR Vignesh	1	2	17764
ARIVUDAI NAMBI	1	2	17764
Aad van der Lugt	1	3	12013
Aafke van den Berg	1	2	17764
Aakash Pandey	1	2	17764
Aakrosh Ratan	3	4	10491
Aalap Mogre	1	5	4631
Aanchal Johri	1	1	29388
Aapo Hyvarinen	1	1	29388
Aapo Nummenmaa	1	2	17764
Aare Abroi	1	1	29388
Aarno Palotie	16	46	28
Aaron Aragaki	1	1	29388
Aaron Behr	1	3	12013
Aaron Best	1	5	4631
Aaron Bornstein	2	2	17764
Aaron Brewster	2	10	1419
Aaron Burton	2	4	10491
Aaron Chug	1	2	17764
Aaron Clauset	5	11	1203
Aaron Comeault	2	6	3650
Aaron Darling	4	17	473
Aaron Daugherty	1	1	29388
Aaron Dinner	3	10	1419
Aaron Dy	1	5	4631
Aaron Ellison	10	17	473
Aaron Fleming	1	1	29388
Aaron Gabow	1	3	12013
Aaron Garoutte	1	5	4631
Aaron Golden	2	4	10491
Aaron Graubert	1	5	4631
Aaron Halpert	1	5	4631
Aaron Hummel	1	1	29388
Aaron Isaacs	2	4	10491
Aaron Jackson	1	3	12013
Aaron Kerlin	1	1	29388
Aaron King	1	2	17764
Aaron Lee	1	2	17764
Aaron Lin	1	2	17764
Aaron Liston	2	4	10491
Aaron Lorenz	3	5	4631
Aaron Lun	3	15	603
Aaron Maule	2	4	10491
Aaron McDaid	1	2	17764
Aaron McKenna	2	3	12013
Aaron Miller	3	7	2850
Aaron Ostrovsky	2	2	17764
Aaron Petkau	1	5	4631
Aaron Pital	1	2	17764
Aaron Quinlan	6	30	118
Aaron Ragsdale	3	15	603
Aaron Reinke	3	15	603
Aaron Sams	3	7	2850
Aaron Santner	1	1	29388
Aaron Schurger	1	1	29388
Aaron Sim	2	4	10491
Aaron Smargon	1	2	17764
Aaron Steele	1	1	29388
Aaron Stephan	1	1	29388
Aaron Stonestrom	1	1	29388
Aaron Straight	2	4	10491
Aaron Taudt	1	1	29388
Aaron Topol	1	5	4631
Aaron Turkewitz	2	7	2850
Aaron Wacholder	1	2	17764
Aaron Wagner	1	3	12013
Aaron Weimann	2	6	3650
Aaron Wenger	1	1	29388
Aaron White	1	1	29388
Aaron Wilber	1	3	12013
Aaron Winder	1	1	29388
Aaron Wise	1	2	17764
Aaron Wolen	1	2	17764
Aaron Wong	2	7	2850
Aarti Singh	1	5	4631
Aarti Venkat	1	5	4631
Aashish Jha	1	2	17764
Aashish Priye	1	5	4631
Aashish Ranjan	4	6	3650
Aashna Duggal	2	10	1419
Aastha Kapoor	1	1	29388
Aastha Mathur	1	2	17764
Abayomi Olabode	2	4	10491
Abba Krieger	1	5	4631
Abbas Babajani-Feremi	1	2	17764
Abbas Kazemipour	1	2	17764
Abbie Binch	1	1	29388
Abby Dernburg	1	1	29388
Abby Hare-Harris	1	2	17764
Abdalla Akef	1	3	12013
Abdel Abdellaoui	4	9	2005
Abdelamdjid Benmansour	1	5	4631
Abdelkader Namane	1	2	17764
Abdelrhman Elnasseh	1	1	29388
Abdol-Hossein Vahabie	1	1	29388
Abdollah Safari	1	2	17764
Abdon Pena-Francesch	1	1	29388
Abdonas Tamosiunas	1	5	4631
Abdoulaye Diabate	1	5	4631
Abdoulaye Diallo	4	6	3650
Abdoulaye Djimde	2	3	12013
Abdourahmane Faye	1	3	12013
Abdourahmane Sow	1	3	12013
Abdul Kareem	1	1	29388
Abdul Majid	1	2	17764
Abdul Noor	1	1	29388
Abdullah Ibrahim	1	2	17764
Abdullah Kahraman	1	2	17764
Abdullah Khamis	1	2	17764
Abdullah Qassab	1	2	17764
Abdullah Toor	1	3	12013
Abdulrahman Azab	1	1	29388
Abdur Basher	1	2	17764
Abdurrahman Keskin	2	2	17764
Abel Chiao	1	2	17764
Abel Gonzalez-Perez	1	1	29388
Abel Paz-Gallardo	1	2	17764
Abelardo Montesinos-Lopez	1	2	17764
Abesh Bhattacharjee	1	2	17764
Abhay Sharma	1	3	12013
Abhaydeep Pandey	1	1	29388
Abhijeet Sonawane	5	15	603
Abhijit De	1	1	29388
Abhijit Dixit	1	3	12013
Abhijit Majumder	1	1	29388
Abhijit Mitra	3	5	4631
Abhijit Nath	2	2	17764
Abhijna Parigi	2	6	3650
Abhilash AS	1	3	12013
Abhilash Mohan	1	1	29388
Abhinav Ganesan	1	2	17764
Abhinav Jain	1	1	29388
Abhinav Mittal	1	2	17764
Abhinav Nellore	7	27	153
Abhinav Singh	1	3	12013
