DOI	Author	Standard_Author
10.1101/000026	Graham Coop	Graham Coop
10.1101/000026	Jeremy J Berg	Jeremy Berg
10.1101/000042	Arvind Narayanan	Arvind Narayanan
10.1101/000042	Yaniv Erlich	Yaniv Erlich
10.1101/000067	Arthur H Shockley	Arthur Shockley
10.1101/000067	Frank Albert	Frank Albert
10.1101/000067	Joshua S Bloom	Joshua Bloom
10.1101/000067	Leonid Kruglyak	Leonid Kruglyak
10.1101/000067	Sebastian Treusch	Sebastian Treusch
10.1101/000075	Anders Rantzer	Anders Rantzer
10.1101/000075	Richard M Murray	Richard Murray
10.1101/000075	Vanessa Jonsson	Vanessa Jonsson
10.1101/000091	Jongmin Kim	Jongmin Kim
10.1101/000091	Richard M. Murray	Richard Murray
10.1101/000091	Shaunak Sen	Shaunak Sen
10.1101/000109	Amanda M Kenney	Amanda Kenney
10.1101/000109	Andrea L Sweigart	Andrea Sweigart
10.1101/000109	Graham Coop	Graham Coop
10.1101/000109	Lex Fagel	Lex Fagel
10.1101/000109	Yaniv Brandvain	Yaniv Brandvain
10.1101/000125	Alexander G Fletcher	Alexander Fletcher
10.1101/000125	Alexander R A Anderson	Alexander Anderson
10.1101/000125	Jacob G Scott	Jacob Scott
10.1101/000125	Philip Gerlee	Philip Gerlee
10.1101/000125	Philip K Maini	Philip Maini
10.1101/000141	Alexander R A Anderson	Alexander Anderson
10.1101/000141	Anita Hjelmeland	Anita Hjelmeland
10.1101/000141	David Basanta	David Basanta
10.1101/000141	Jacob Scott	Jacob Scott
10.1101/000141	Prakash Chinnaiyan	Prakash Chinnaiyan
10.1101/000158	Alvaro N. A. Monteiro	Alvaro Monteiro
10.1101/000158	Edwin S Iversen	Edwin Iversen
10.1101/000158	Gary Lipton	Gary Lipton
10.1101/000158	Merlise A. Clyde	Merlise Clyde
10.1101/000208	Anna Morrison	Anna Morrison
10.1101/000208	Brian Counterman	Brian Counterman
10.1101/000208	Chri Jiggins	Chri Jiggins
10.1101/000208	Humberto Ortiz-Zuazaga	Humberto Ortiz-Zuazaga
10.1101/000208	Jose Alejandro Medina	Jose Medina
10.1101/000208	Mayte Ruiz	Mayte Ruiz
10.1101/000208	Nicola Nadeau	Nicola Nadeau
10.1101/000208	Patricio Salazar	Patricio Salazar
10.1101/000208	Riccardo Papa	Riccardo Papa
10.1101/000208	W. Owen McMillan	W. McMillan
10.1101/000216	Alain Coletta	Alain Coletta
10.1101/000216	Andrew P Harrison	Andrew Harrison
10.1101/000216	David Weiss	David Weiss
10.1101/000216	Federico Moran	Federico Moran
10.1101/000216	Huanming Yang	Huanming Yang
10.1101/000216	Manuel Corpas	Manuel Corpas
10.1101/000216	Mike Cariaso	Mike Cariaso
10.1101/000224	Graham K Steel	Graham Steel
10.1101/000224	Phillippa M Wiggins	Phillippa Wiggins
10.1101/000224	n/a n/a	
10.1101/000240	Edward H Morrow	Edward Morrow
10.1101/000240	Ilona Flis	Ilona Flis
10.1101/000240	Paolo Innocenti	Paolo Innocenti
10.1101/000257	Beom Jun Kim	Beom Kim
10.1101/000257	Daniel M. Abrams	Daniel Abrams
10.1101/000257	Mason A. Porter	Mason Porter
10.1101/000257	Robyn Ffrancon	Robyn Ffrancon
10.1101/000257	Sang Hoon Lee	Sang Lee
10.1101/000265	Alpan Raval	Alpan Raval
10.1101/000265	Amardeep Kaur	Amardeep Kaur
10.1101/000265	Animesh Ray	Animesh Ray
10.1101/000265	Anthony Sevold	Anthony Sevold
10.1101/000265	Arend Hintze	Arend Hintze
10.1101/000265	Ashish Bhan	Ashish Bhan
10.1101/000265	Biranchi Patra	Biranchi Patra
10.1101/000265	Bjrn stman	Bjrn stman
10.1101/000265	Bruz Marzolf	Bruz Marzolf
10.1101/000265	Christoph Adami	Christoph Adami
10.1101/000265	David J Galas	David Galas
10.1101/000265	Elizabeth J Grayhack	Elizabeth Grayhack
10.1101/000265	Eric M Phizicky	Eric Phizicky
10.1101/000265	Gitanjali Yadav	Gitanjali Yadav
10.1101/000265	Jenna K Tamashiro	Jenna Tamashiro
10.1101/000265	Jesse P Frumkin	Jesse Frumkin
10.1101/000265	Jory Schossau	Jory Schossau
10.1101/000265	Nitin S Baliga	Nitin Baliga
10.1101/000265	Ravishankar R Vallabhajosyula	Ravishankar Vallabhajosyula
10.1101/000265	Yoshiko Kon	Yoshiko Kon
10.1101/000307	Michael B Eisen	Michael Eisen
10.1101/000307	Steven Gregory Kuntz	Steven Kuntz
10.1101/000315	Claire Mach	Claire Mach
10.1101/000315	Genevera I. Allen	Genevera Allen
10.1101/000315	Matthew Anderson	Matthew Anderson
10.1101/000315	Ying-Wooi Wan	Ying-Wooi Wan
10.1101/000315	Zhandong Liu	Zhandong Liu
10.1101/000349	Bradly J Alicea	Bradly Alicea
10.1101/000364	Xubin Pan	Xubin Pan
10.1101/000380	Alexander Mazein	Alexander Mazein
10.1101/000380	Guanghou Shui	Guanghou Shui
10.1101/000380	Holly Gibbs	Holly Gibbs
10.1101/000380	Jane Hillston	Jane Hillston
10.1101/000380	Kevin Robertson	Kevin Robertson
10.1101/000380	Laurence Loewe	Laurence Loewe
10.1101/000380	Maria-Luisa Guerriero	Maria-Luisa Guerriero
10.1101/000380	Markus Wenk	Markus Wenk
10.1101/000380	Mathieu Blanc	Mathieu Blanc
10.1101/000380	Peter Ghazal	Peter Ghazal
10.1101/000380	Steven Watterson	Steven Watterson
10.1101/000398	Liangsheng Zhang	Liangsheng Zhang
10.1101/000398	Zhenguo Zhang	Zhenguo Zhang
10.1101/000406	Armita Nourmohammad	Armita Nourmohammad
10.1101/000406	Michael Lassig	Michael Lassig
10.1101/000406	Torsten Held	Torsten Held
10.1101/000414	Edward H Morrow	Edward Morrow
10.1101/000414	Jessica K Abbott	Jessica Abbott
10.1101/000414	William P Gilks	William Gilks
10.1101/000422	Matthew D MacManes	Matthew MacManes
10.1101/000430	Elisa Franco	Elisa Franco
10.1101/000430	Giulia Giordano	Giulia Giordano
10.1101/000430	Per-Ola Forsberg	Per-Ola Forsberg
10.1101/000430	Richard M Murray	Richard Murray
10.1101/000448	Emmanuel LC de los Santos	Emmanuel de los Santos
10.1101/000448	John E Dueber	John Dueber
10.1101/000448	Richard M Murray	Richard Murray
10.1101/000448	Victoria Hsiao	Victoria Hsiao
10.1101/000448	Weston R Whitaker	Weston Whitaker
10.1101/000455	Evelyne Sernagor	Evelyne Sernagor
10.1101/000455	Jennifer Simonotto	Jennifer Simonotto
10.1101/000455	Mark Jessop	Mark Jessop
10.1101/000455	Michael Weeks	Michael Weeks
10.1101/000455	Stephen Eglen	Stephen Eglen
10.1101/000455	Tom Jackson	Tom Jackson
10.1101/000489	Bud (Bhubaneswar) Mishra	Bud Mishra
10.1101/000497	Anatoly Yambartsev	Anatoly Yambartsev
10.1101/000497	Andrey Morgun	Andrey Morgun
10.1101/000497	Karina Mine	Karina Mine
10.1101/000497	Michael Perlin	Michael Perlin
10.1101/000497	Natalia Shulzhenko	Natalia Shulzhenko
10.1101/000497	Yevgeniy Kovchegov	Yevgeniy Kovchegov
10.1101/000513	Pei-Hui Wang	Pei-Hui Wang
10.1101/000521	Erol Akcay	Erol Akcay
