doi	date	subjects	license	version
10.1101/049031	April 16, 2016	Microbiology	CC BY-NC	4.0
10.1101/049049	April 16, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/048553	April 16, 2016	Cancer Biology	CC BY	4.0
10.1101/049015	April 16, 2016	Bioinformatics	CC BY-ND	4.0
10.1101/048892	April 16, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/048991	April 16, 2016	Genetics	CC BY	4.0
10.1101/049007	April 16, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/048934	April 16, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/048983	April 16, 2016	Bioinformatics	CC BY-NC	4.0
10.1101/048736	April 16, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/044057	April 16, 2016	Bioengineering		
10.1101/018499	April 16, 2016	Zoology	CC BY	4.0
10.1101/048942	April 15, 2016	Bioinformatics		
10.1101/048835	April 15, 2016	Genetics		
10.1101/048975	April 15, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/048959	April 15, 2016	Microbiology	CC BY-NC	4.0
10.1101/048686	April 15, 2016	Biophysics	CC BY-NC	4.0
10.1101/048819	April 15, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/023200	April 15, 2016	Neuroscience	CC BY	4.0
10.1101/048173	April 15, 2016	Plant Biology	CC BY-NC-ND	4.0
10.1101/046789	April 15, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/038992	April 15, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/040410	April 15, 2016	Cell Biology	CC BY-NC-ND	4.0
10.1101/038380	April 15, 2016	Genomics	CC BY	4.0
10.1101/038604	April 15, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/048850	April 15, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/048710	April 15, 2016	Synthetic Biology	CC BY-NC-ND	4.0
10.1101/048744	April 15, 2016	Bioinformatics	CC BY	4.0
