DOI	Date	License
10.1101/000026	2014-09-08	CC BY
10.1101/000042	2013-12-01	CC BY
10.1101/000067	2013-11-07	None
10.1101/000075	2014-03-30	CC BY-NC
10.1101/000091	2013-11-07	CC BY-ND
10.1101/000109	2013-11-07	CC BY
10.1101/000125	2013-11-07	CC BY-NC
10.1101/000141	2013-11-07	CC BY-NC
10.1101/000158	2013-11-11	CC BY-ND
10.1101/000208	2013-11-12	CC BY-NC-ND
10.1101/000216	2013-11-12	CC BY
10.1101/000224	2013-11-12	CC BY
10.1101/000240	2013-11-12	CC BY
10.1101/000257	2014-10-16	CC BY-NC-ND
10.1101/000265	2013-11-12	CC BY-ND
10.1101/000307	2013-11-12	CC BY
10.1101/000315	2013-11-13	CC BY-NC-ND
10.1101/000349	2013-12-01	CC BY-NC
10.1101/000364	2013-11-14	CC BY
10.1101/000380	2013-11-14	CC BY
10.1101/000398	2013-11-14	CC BY-NC-ND
10.1101/000406	2013-11-15	CC BY-NC-ND
10.1101/000414	2013-11-14	CC BY
10.1101/000422	2014-01-14	CC BY
10.1101/000430	2013-11-15	CC BY-NC-ND
10.1101/000448	2013-12-10	CC BY-NC-ND
10.1101/000455	2014-02-18	CC BY-NC-ND
10.1101/000489	2013-11-15	CC BY
10.1101/000497	2013-11-15	CC BY-NC
10.1101/000513	2013-11-16	None
10.1101/000521	2014-04-17	CC BY-NC-ND
10.1101/000547	2013-11-16	CC BY
10.1101/000562	2013-11-18	CC BY-NC-ND
10.1101/000570	2013-11-18	None
10.1101/000588	2013-11-18	CC BY-NC
10.1101/000604	2013-11-18	CC BY-NC
10.1101/000638	2013-11-22	None
10.1101/000653	2014-06-30	CC BY
10.1101/000661	2013-11-25	CC BY-NC-ND
10.1101/000679	2013-11-18	CC BY-NC-ND
10.1101/000687	2014-10-06	CC BY
10.1101/000711	2013-11-19	CC BY
10.1101/000745	2013-11-20	None
10.1101/000752	2014-02-25	CC BY
10.1101/000760	2014-02-07	None
10.1101/000778	2014-01-18	CC BY-NC-ND
10.1101/000786	2013-11-20	CC BY-NC-ND
10.1101/000802	2013-12-13	None
10.1101/000836	2013-11-22	CC BY
10.1101/000844	2013-11-22	CC BY
10.1101/000851	2013-11-22	CC BY-ND
10.1101/000869	2014-04-21	None
10.1101/000885	2014-03-09	CC BY-ND
10.1101/000893	2013-11-25	None
10.1101/000919	2014-10-10	None
10.1101/000927	2013-11-25	None
10.1101/000935	2013-11-25	CC BY
10.1101/000943	2014-04-02	CC BY-NC
10.1101/000950	2013-12-25	CC BY-NC-ND
10.1101/000968	2013-12-19	CC BY-NC-ND
10.1101/000984	2013-12-04	None
10.1101/000992	2014-07-13	CC BY
10.1101/001008	2014-08-05	None
10.1101/001016	2015-07-28	CC BY-NC-ND
10.1101/001024	2013-12-02	CC BY-NC-ND
10.1101/001032	2013-12-02	CC BY-NC-ND
10.1101/001040	2013-12-03	None
10.1101/001065	2013-12-03	CC BY-ND
10.1101/001073	2013-12-02	CC BY-NC-ND
10.1101/001081	2013-12-03	CC BY
10.1101/001099	2013-12-03	CC BY
10.1101/001107	2014-09-29	CC BY
10.1101/001123	2013-12-03	CC BY
10.1101/001156	2013-12-04	CC BY-NC
10.1101/001172	2014-01-04	CC BY-NC-ND
10.1101/001198	2013-12-10	None
10.1101/001214	2014-04-21	CC BY-NC-ND
10.1101/001230	2013-12-12	CC BY
10.1101/001248	2013-12-11	CC BY-NC-ND
10.1101/001255	2014-04-09	CC BY-NC-ND
10.1101/001263	2013-12-10	CC BY-NC-ND
10.1101/001289	2013-12-16	None
10.1101/001297	2014-01-16	CC BY-NC-ND
10.1101/001305	2014-03-28	CC BY
10.1101/001321	2014-07-26	None
10.1101/001347	2014-08-20	CC BY
10.1101/001354	2013-12-12	None
10.1101/001362	2013-12-12	CC BY-NC-ND
10.1101/001370	2014-06-18	None
10.1101/001388	2013-12-16	CC BY-NC-ND
10.1101/001396	2013-12-13	CC BY-NC-ND
10.1101/001404	2013-12-14	CC BY-NC-ND
10.1101/001438	2013-12-21	CC BY-ND
10.1101/001446	2013-12-17	CC BY-NC-ND
10.1101/001453	2014-04-11	CC BY-NC-ND
10.1101/001461	2013-12-19	CC BY-ND
10.1101/001479	2013-12-19	CC BY-NC-ND
10.1101/001487	2013-12-20	CC BY-NC-ND
10.1101/001495	2013-12-20	CC BY-ND
10.1101/001511	2013-12-21	None
10.1101/001529	2013-12-31	CC BY-NC-ND
10.1101/001537	2013-12-26	None
10.1101/001545	2014-06-02	CC BY
10.1101/001552	2014-04-05	CC BY-NC-ND
10.1101/001586	2014-01-13	CC BY-ND
10.1101/001594	2013-12-24	CC BY-NC-ND
10.1101/001602	2014-01-23	None
10.1101/001610	2013-12-30	CC BY-NC-ND
10.1101/001636	2013-12-31	None
10.1101/001651	2014-01-02	None
10.1101/001669	2014-01-02	CC BY
10.1101/001677	2014-07-21	CC BY
10.1101/001685	2015-03-16	CC BY-NC-ND
10.1101/001693	2014-01-08	None
10.1101/001701	2014-02-18	CC BY
10.1101/001719	2014-03-07	CC BY-NC-ND
10.1101/001727	2014-01-10	CC BY-NC-ND
10.1101/001735	2014-01-25	CC BY-NC-ND
10.1101/001743	2014-01-10	CC BY
10.1101/001750	2014-10-03	None
10.1101/001768	2014-01-13	CC BY-NC-ND
10.1101/001776	2014-01-13	CC BY-NC
10.1101/001784	2014-08-25	CC BY-NC-ND
10.1101/001792	2014-01-13	CC BY-NC-ND
10.1101/001800	2014-03-18	CC BY-NC-ND
10.1101/001818	2014-01-14	CC BY-NC-ND
10.1101/001826	2014-10-01	None
10.1101/001834	2014-06-17	None
10.1101/001842	2014-03-05	CC BY-NC-ND
10.1101/001867	2014-01-17	CC BY-NC
10.1101/001875	2014-01-22	CC BY-NC
10.1101/001883	2014-01-17	None
10.1101/001891	2014-01-17	CC BY-NC-ND
10.1101/001909	2014-01-17	CC BY-NC
10.1101/001917	2014-01-21	CC BY-NC
10.1101/001925	2014-01-21	CC BY-NC
10.1101/001933	2014-01-21	CC BY-NC-ND
10.1101/001941	2014-01-21	CC BY-NC-ND
10.1101/001958	2014-01-24	CC BY-NC-ND
10.1101/001966	2014-01-22	None
10.1101/001974	2014-01-22	None
10.1101/001982	2014-01-22	CC BY
10.1101/001990	2014-01-23	CC BY
10.1101/002006	2014-01-23	None
10.1101/002014	2014-01-23	None
10.1101/002022	2014-01-23	None
10.1101/002048	2014-01-24	None
10.1101/002063	2014-01-24	CC BY-NC-ND
10.1101/002071	2014-01-26	None
10.1101/002097	2014-01-26	CC BY
10.1101/002105	2014-03-14	CC BY-NC
